1.3.6.1.2.1.47.1.1.1.1.4 包含本物理实体的直接父实体的索引
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109253 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109254 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109255 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109256 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109257 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109258 Type:Integer Value:17109248
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109504 Type:Integer Value:17105408
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109505 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109506 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109507 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109508 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109509 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109510 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109511 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109512 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109513 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17109514 Type:Integer Value:17109504
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170432 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170433 Type:Integer Value:17170432
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170688 Type:Integer Value:17170433
OID:1.3.6.1.2.1.47.1.1.1.1.4.17170944 Type:Integer Value:17170433
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174784 Type:Integer Value:17170688
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174785 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174786 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174787 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174788 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174789 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174790 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174791 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174792 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174793 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17174794 Type:Integer Value:17174784
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175040 Type:Integer Value:17170944
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175041 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175042 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175043 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175044 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175045 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175046 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175047 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175048 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175049 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17175050 Type:Integer Value:17175040
OID:1.3.6.1.2.1.47.1.1.1.1.4.17235968 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17235969 Type:Integer Value:17235968
OID:1.3.6.1.2.1.47.1.1.1.1.4.17236224 Type:Integer Value:17235969
OID:1.3.6.1.2.1.47.1.1.1.1.4.17236480 Type:Integer Value:17235969
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240320 Type:Integer Value:17236224
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240321 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240322 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240323 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240324 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240325 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240326 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240327 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240328 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240329 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240330 Type:Integer Value:17240320
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240576 Type:Integer Value:17236480
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240577 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240578 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240579 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240580 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240581 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240582 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240583 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240584 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240585 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17240586 Type:Integer Value:17240576
OID:1.3.6.1.2.1.47.1.1.1.1.4.17301504 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17367040 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17432576 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17498112 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17563648 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17629184 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17629185 Type:Integer Value:17629184
OID:1.3.6.1.2.1.47.1.1.1.1.4.17629440 Type:Integer Value:17629185
OID:1.3.6.1.2.1.47.1.1.1.1.4.17694720 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17760256 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17825792 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17891328 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17891329 Type:Integer Value:17891328
OID:1.3.6.1.2.1.47.1.1.1.1.4.17891584 Type:Integer Value:17891329
OID:1.3.6.1.2.1.47.1.1.1.1.4.17891840 Type:Integer Value:17891329
OID:1.3.6.1.2.1.47.1.1.1.1.4.17895680 Type:Integer Value:17891584
OID:1.3.6.1.2.1.47.1.1.1.1.4.17895936 Type:Integer Value:17891840
OID:1.3.6.1.2.1.47.1.1.1.1.4.17896193 Type:Integer Value:17891329
OID:1.3.6.1.2.1.47.1.1.1.1.4.17896194 Type:Integer Value:17891329
OID:1.3.6.1.2.1.47.1.1.1.1.4.17899777 Type:Integer Value:17891329
OID:1.3.6.1.2.1.47.1.1.1.1.4.17956864 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.17956865 Type:Integer Value:17956864
OID:1.3.6.1.2.1.47.1.1.1.1.4.17957120 Type:Integer Value:17956865
OID:1.3.6.1.2.1.47.1.1.1.1.4.17957376 Type:Integer Value:17956865
OID:1.3.6.1.2.1.47.1.1.1.1.4.17961216 Type:Integer Value:17957120
OID:1.3.6.1.2.1.47.1.1.1.1.4.17961472 Type:Integer Value:17957376
OID:1.3.6.1.2.1.47.1.1.1.1.4.17961729 Type:Integer Value:17956865
OID:1.3.6.1.2.1.47.1.1.1.1.4.17961730 Type:Integer Value:17956865
OID:1.3.6.1.2.1.47.1.1.1.1.4.17965313 Type:Integer Value:17956865
OID:1.3.6.1.2.1.47.1.1.1.1.4.18022400 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18022401 Type:Integer Value:18022400
OID:1.3.6.1.2.1.47.1.1.1.1.4.18087936 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18087937 Type:Integer Value:18087936
OID:1.3.6.1.2.1.47.1.1.1.1.4.18153472 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18153473 Type:Integer Value:18153472
OID:1.3.6.1.2.1.47.1.1.1.1.4.18219008 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18219009 Type:Integer Value:18219008
OID:1.3.6.1.2.1.47.1.1.1.1.4.18284544 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18284545 Type:Integer Value:18284544
OID:1.3.6.1.2.1.47.1.1.1.1.4.18350080 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18350081 Type:Integer Value:18350080
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415616 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415617 Type:Integer Value:18415616
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415618 Type:Integer Value:18415617
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415619 Type:Integer Value:18415617
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415620 Type:Integer Value:18415617
OID:1.3.6.1.2.1.47.1.1.1.1.4.18415621 Type:Integer Value:18415617
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481152 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481153 Type:Integer Value:18481152
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481154 Type:Integer Value:18481153
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481155 Type:Integer Value:18481153
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481156 Type:Integer Value:18481153
OID:1.3.6.1.2.1.47.1.1.1.1.4.18481157 Type:Integer Value:18481153
OID:1.3.6.1.2.1.47.1.1.1.1.4.18546688 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18546689 Type:Integer Value:18546688
OID:1.3.6.1.2.1.47.1.1.1.1.4.18612224 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18612225 Type:Integer Value:18612224
OID:1.3.6.1.2.1.47.1.1.1.1.4.18677760 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18677761 Type:Integer Value:18677760
OID:1.3.6.1.2.1.47.1.1.1.1.4.18743296 Type:Integer Value:16777216
OID:1.3.6.1.2.1.47.1.1.1.1.4.18743297 Type:Integer Value:18743296
OID:1.3.6.1.2.1.47.1.1.1.1.4.18808832 Type:Integer Value:16777216
