1.3.6.1.2.1.47.1.1.1.1.5 物理实体的通用类型
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109257 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109258 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109504 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109505 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109506 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109507 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109508 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109509 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109510 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109511 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109512 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109513 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17109514 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17170432 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17170433 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17170688 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17170944 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174784 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174785 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174786 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174787 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174788 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174789 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174790 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174791 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174792 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174793 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17174794 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175040 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175041 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175042 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175043 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175044 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175045 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175046 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175047 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175048 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175049 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17175050 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17235968 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17235969 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17236224 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17236480 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240320 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240321 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240322 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240323 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240324 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240325 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240326 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240327 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240328 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240329 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240330 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240576 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240577 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240578 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240579 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240580 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240581 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240582 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240583 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240584 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240585 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17240586 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17301504 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17367040 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17432576 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17498112 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17563648 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17629184 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17629185 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17629440 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17694720 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17760256 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17825792 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17891328 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17891329 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17891584 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17891840 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17895680 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17895936 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17896193 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17896194 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17899777 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17956864 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17956865 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17957120 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17957376 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.17961216 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17961472 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.17961729 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17961730 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.17965313 Type:Integer Value:10
OID:1.3.6.1.2.1.47.1.1.1.1.5.18022400 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18022401 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.18087936 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18087937 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.18153472 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18153473 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.18219008 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18219009 Type:Integer Value:9
OID:1.3.6.1.2.1.47.1.1.1.1.5.18284544 Type:Integer Value:5
OID:1.3.6.1.2.1.47.1.1.1.1.5.18284545 Type:Integer Value:9
